id,name,population,pm2022,rank
SAU,Saudi Arabia,33983136.0,27.5,180.0
SEN,Senegal,17736968.0,5.67,44.5
SRB,Serbia,6770743.0,16.95,139.0
SYC,Seychelles,84686.0,4.96,39.0
SLE,Sierra Leone,8600687.0,9.87,83.0
SGP,Singapore,5897812.0,13.89,121.0
SOM,Somalia,12319239.0,8.9,75.0
ZAF,South Africa,57489367.0,23.26,169.0
KOR,South Korea,51559617.0,20.82,159.0
ESP,Spain,46593538.0,7.5,61.0
LKA,Sri Lanka,22945888.0,19.13,153.0
SDN,Sudan,47917402.0,10.18,87.5
SUR,Suriname,648424.0,6.05,47.0
SWZ,Swaziland,1128252.0,16.38,135.0
SWE,Sweden,10325597.0,4.86,37.0
CHE,Switzerland,8516489.0,8.73,72.0
SYR,Syria,21321486.0,22.82,167.0
TWN,Taiwan,23479671.0,17.29,142.0
TJK,Tajikistan,9100311.0,17.08,141.0
TZA,Tanzania,63482296.0,18.17,145.0
THA,Thailand,69398464.0,21.15,162.0
TLS,Timor-Leste,1422731.0,10.96,94.0
TGO,Togo,8492314.0,15.64,131.5
TKL,Tokelau,520.0,1.61,9.0
TON,Tonga,96190.0,1.98,15.0
TTO,Trinidad and Tobago,1392155.0,3.9,34.0
TUN,Tunisia,11804434.0,10.18,87.5
TUR,Turkey,82471080.0,21.1,161.0
TKM,Turkmenistan,5610753.0,10.38,90.0
TCA,Turks and Caicos Islands,53341.0,2.66,23.0
UGA,Uganda,46038830.0,27.81,181.0
UKR,Ukraine,43430262.0,10.81,92.0
ARE,United Arab Emirates,9842766.0,20.71,158.0
GBR,United Kingdom,67517941.0,8.28,66.0
USA,United States,336069291.0,6.91,53.0
URY,Uruguay,3389313.0,9.08,76.0
UZB,Uzbekistan,31254931.0,18.64,150.0
VUT,Vanuatu,271111.0,5.12,40.0
VEN,Venezuela,29591564.0,11.96,101.0
VNM,Vietnam,103500052.0,23.58,171.0
WLF,Wallis and Futuna,13063.0,1.85,13.0
ESH,Western Sahara,649596.0,4.84,36.0
YEM,Yemen,30898308.0,16.76,137.0
ZMB,Zambia,19648981.0,22.18,164.0
ZWE,Zimbabwe,15096699.0,15.97,133.0
